Filename,Name,Date,Activity Type,Distance (km),Duration (min),Avg Pace (min/km)
8322091260.gpx,Evening Walk,01/01/2023,walking,7.53,86.4,11:28
8343192637.gpx,Afternoon Run,05/01/2023,running,2.01,13.1,06:30
8370339032.gpx,Evening Run,10/01/2023,running,4.15,29.4,07:06
8429163010.gpx,Afternoon Walk,21/01/2023,walking,5.91,68.7,11:37
8477016889.gpx,Afternoon Walk,30/01/2023,walking,0.72,6.7,09:23
8477211725.gpx,Afternoon Run,30/01/2023,running,5.18,38.8,07:29
8515828916.gpx,Afternoon Run,06/02/2023,running,1,8.3,08:18
8515882634.gpx,Afternoon Run,06/02/2023,running,1.07,7.8,07:20
8516008311.gpx,Afternoon Run,06/02/2023,running,2.11,13.5,06:25
8550464158.gpx,Warm up,12/02/2023,running,1.2,8.3,06:56
8550464264.gpx,Afternoon Run,12/02/2023,running,7.22,48.7,06:44
8566687402.gpx,Evening Run,15/02/2023,running,2.7,19.3,07:07
8567294409.gpx,Evening Run,15/02/2023,running,3.02,20.4,06:46
8583026999.gpx,Evening Run,18/02/2023,running,6.92,51.6,07:27
8588673212.gpx,Afternoon Run,19/02/2023,running,12.56,91.3,07:16
8599779658.gpx,Evening Run,21/02/2023,running,5.78,39.4,06:49
8599836766.gpx,Cool down,21/02/2023,running,1.01,6.6,06:30
8641250233.gpx,Lunch Run,01/03/2023,running,13.01,97.4,07:28
8666280845.gpx,Evening Run,05/03/2023,running,6.41,46,07:10
8703202252.gpx,Afternoon Walk,12/03/2023,walking,5.68,66.9,11:45
8736879495.gpx,Evening Walk,18/03/2023,walking,6.24,70.9,11:22
8759954225.gpx,Evening Walk,22/03/2023,walking,5.15,58.5,11:21
8821561428.gpx,Evening Walk,02/04/2023,walking,5.17,53.8,10:24
8831762318.gpx,Afternoon Walk,04/04/2023,walking,4.02,44,10:55
8860921099.gpx,Afternoon Walk,09/04/2023,walking,5.18,72.8,14:03
8890257940.gpx,Evening Walk,14/04/2023,walking,2.88,35.4,12:17
8901991728.gpx,Afternoon Walk,16/04/2023,walking,9.54,112.8,11:49
8902147840.gpx,Afternoon Walk,16/04/2023,walking,1.5,18.2,12:10
8921057184.gpx,Evening Walk,19/04/2023,walking,3.73,43.7,11:43
8978625383.gpx,Afternoon Walk,29/04/2023,walking,7.82,91.7,11:42
8985676238.gpx,Evening Walk,30/04/2023,walking,5.54,65.9,11:53
8992348049.gpx,Evening Run,01/05/2023,running,2.86,20.9,07:19
9005265315.gpx,Night Walk,03/05/2023,walking,5.31,60.5,11:23
9030307644.gpx,Night Run,07/05/2023,running,7.24,51.3,07:05
9047148050.gpx,Easy run,10/05/2023,running,6.47,45.4,07:00
9095316555.gpx,Afternoon Run,18/05/2023,running,5.3,35.6,06:43
9120198419.gpx,Evening Walk,22/05/2023,walking,5.71,64.3,11:15
9134139767.gpx,Evening Walk,24/05/2023,walking,9.07,108.2,11:55
9152084481.gpx,Evening Walk,27/05/2023,walking,4.2,44.1,10:30
9159545874.gpx,Night Walk,28/05/2023,walking,4.88,59.8,12:15
9165574207.gpx,Night Walk,29/05/2023,walking,5.14,63.6,12:22
9176395427.gpx,Afternoon Run,31/05/2023,running,4.83,33.9,07:00
9370410476.gpx,Evening Walk,01/07/2023,walking,10.75,114.7,10:40
9380296695.gpx,Afternoon Walk,03/07/2023,walking,5.94,85.2,14:21
9386624527.gpx,Afternoon Walk,04/07/2023,walking,4.79,56,11:41
9399465462.gpx,Afternoon Walk,06/07/2023,walking,5.44,64.4,11:49
9405709912.gpx,Afternoon Walk,07/07/2023,walking,7.57,96.4,12:43
9661726084.gpx,Evening Run,16/08/2023,running,0.63,4.4,07:04
9661802638.gpx,Evening Run,16/08/2023,running,1.28,8.4,06:33
9661916269.gpx,Night Run,16/08/2023,running,2.86,19.9,06:57
9687996252.gpx,warm up,20/08/2023,running,2.04,13.8,06:45
9688089962.gpx,Evening Run,20/08/2023,running,2.03,14.3,07:01
9688241858.gpx,Night Run,20/08/2023,running,2.99,22.1,07:22
9698364179.gpx,Afternoon Walk,22/08/2023,walking,8.43,106.2,12:36
9712066131.gpx,Afternoon Walk,24/08/2023,walking,7.58,92.1,12:08
9714275445.gpx,Night Run,24/08/2023,running,8.33,61.4,07:22
9750077762.gpx,Afternoon Walk,30/08/2023,walking,3.96,45.4,11:27
9770725089.gpx,interval run,02/09/2023,running,3.23,24.6,07:36
9777943033.gpx,Evening Walk,03/09/2023,walking,12.34,159.4,12:54
9780204228.gpx,Morning Walk,04/09/2023,walking,5.99,82.4,13:45
9870137903.gpx,Afternoon Run,10/09/2023,running,0.75,5.5,07:20
9870137912.gpx,Afternoon Run,10/09/2023,running,1,7.9,07:52
9870137919.gpx,Afternoon Run,10/09/2023,running,1.6,12.2,07:36
9912061443.gpx,Afternoon Walk,24/09/2023,walking,13.76,230.5,16:44
