Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
12448999123,"Sep 19, 2024, 10:05:10 AM",uni girls run club,Run,,1745,4.08,,,FALSE,,,activities/12448999123.gpx,,,1745,1591,4084.939941,3.604003906,2.567529917,7.397255421,7.397255421,6.800000191,62.59999847,6.329220295,-1.329272866,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4000.899902,1726739968,8,17.96999931,15.34000015,13.88000011,0.769999981,1024.02002,7.010000229,11.52000046,51,0,1726725376,1726769920,0.625,,,0,1,0.340000004,22338,3,,,,,0,2.34093976,0,,,,4454,,,,,2.514707804,,,
12549317388,"Oct 1, 2024, 4:01:38 PM",Afternoon Run,Run,,1627,5.01,,,FALSE,,,activities/12549317388.gpx,,,1627,1624,5009.47998,5.469995022,3.084655046,4.668399811,4.668399811,6.800000191,54.20000076,6.144383907,-0.928240061,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4933.299805,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.078967333,0,,,,4476,,,,,3.037746191,,,
12563420745,"Oct 3, 2024, 10:44:57 AM",Lunch Run,Run,,688,1.97,,,FALSE,,,activities/12563420745.gpx,,,688,680,1972.369995,6.602000237,2.900544167,23.66499329,23.66499329,49.5,64,5.559969902,0.319412678,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2010.099976,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.866816759,0,,,,1818,,,,,2.956029415,,,
12605893440,"Oct 8, 2024, 2:26:04 PM",wet run to shops,Run,,344,1.13,,,FALSE,,,activities/12605893440.gpx,,,344,344,1129.060059,6.980004787,3.282151222,0,0,43.5,54.29999924,0.909090936,-0.956547856,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1110.800049,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.282151222,0,,,,954,,,,,3.22906971,,,
12637471964,"Oct 12, 2024, 1:41:47 PM",illness can’t stop me,Run,(it can),2123,5.72,,,FALSE,,,activities/12637471964.gpx,,,2123,2011,5721.839844,5.635999203,2.845270872,4.666392326,4.666392326,6.800000191,54.29999924,5.920073032,-0.817918718,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,5644.299805,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.695167065,15.39999962,,,,5448,,,,,2.806713104,,,
12675866249,"Oct 17, 2024, 9:46:12 AM",Morning Run,Run,,451,1.45,,,FALSE,,,activities/12675866249.gpx,,,451,451,1451.359985,6.60999918,3.218093157,9.144711494,9.144711494,34.79999924,53.70000076,10.5655508,-0.930162072,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1444.099976,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.218093157,0,,,,1222,,,,,3.201995611,,,
12676002534,"Oct 17, 2024, 9:59:54 AM",Lunch Run,Run,w tommy,1017,3.15,,,FALSE,,,activities/12676002534.gpx,,,1017,986,3154.459961,5.452000141,3.199249506,5.402136803,5.402136803,6.900000095,37.79999924,6.69451952,-0.941524088,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,3114.600098,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.101730585,0,,,,2850,,,,,3.15882349,,,
12715977585,"Oct 22, 2024, 11:21:55 AM",shops,Run,,412,1.21,,,FALSE,,,activities/12715977585.gpx,,,412,378,1209.650024,9.052001953,3.20013237,0,0,41.40000153,54.29999924,3.567018032,-1.066424131,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1188.699951,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.936043739,0,,,,1050,,,,,3.14470911,,,
12829195732,"Nov 5, 2024, 3:08:52 PM",Afternoon Run,Run,,456,1.28,,,FALSE,,,activities/12829195732.gpx,,,456,399,1285.800049,5.78000021,3.222556353,22.64440727,22.64440727,43.59999847,66.59999847,15,0.466635555,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1334.800049,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.819736958,0,,,,1090,,,,,3.345363379,,,
12835528902,"Nov 6, 2024, 10:16:07 AM",Morning Run,Run,,1726,5.01,,,FALSE,,,activities/12835528902.gpx,,,1726,1688,5009.299805,6.5,2.967594862,4.667573452,4.667573452,6.400000095,53.59999847,6.034482956,-0.918291986,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4933.100098,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.902259588,0,,,,4556,,,,,2.922452688,,,
12897500282,"Nov 14, 2024, 9:35:32 AM",Morning Run,Run,,564,1.83,,,FALSE,,,activities/12897500282.gpx,,,564,561,1833.400024,5.400000095,3.268092632,0,0,7.099999905,50.79999924,6.829268456,-2.38354969,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1771.099976,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.250709295,0,,,,1546,,,,,3.157041073,,,media/4A11B148-57E0-4030-BE93-C2FC272A511D.jpg|media/279A2BDD-8E00-4821-AACA-C27A32A21699.jpg
12959282742,"Nov 22, 2024, 4:40:53 PM",Afternoon Run,Run,,835,2.4,,,FALSE,,,activities/12959282742.gpx,,,835,832,2406.5,5.460000038,2.892427921,66.19143677,66.19143677,42.29999924,84.59999847,13.23529434,1.313110352,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2611.300049,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.882035971,3,,,,2342,,,,,3.138581753,,,
13000928038,"Nov 28, 2024, 10:08:54 AM",Lunch Run,Run,,3576,10,,,FALSE,,,activities/13000928038.gpx,,,3576,3576,10005.09961,4.78000021,2.797846794,21.28775215,21.29301453,6.400000095,50.79999924,7.804878235,-0.420785397,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,9967.299805,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.797846794,0,,,,10010,,,,,2.787276268,,,
13119560129,"Dec 15, 2024, 10:26:40 AM",Morning Run,Run,,1526,3.99,,,FALSE,,,activities/13119560129.gpx,,,1526,1516,3993,4.039999962,2.633904934,38.97590256,38.97590256,52.09999847,79.19999695,13.61702156,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4062.699951,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.616644859,2118.800049,,,,4164,,,,,2.679881334,,,
13128292001,"Dec 16, 2024, 3:35:54 PM",Afternoon Run,Run,,1801,5.49,,,FALSE,,,activities/13128292001.gpx,,,1801,1795,5489,6.239999771,3.057938814,40.67736435,40.67736435,52.09999847,79.19999695,12.5,-0.074694842,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,5557.200195,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.047751188,2858.300049,,,,4834,,,,,3.095933199,,,
13353472644,"Jan 14, 2025, 3:47:44 PM",Afternoon Run,Run,beauutiful,2221,6.43,,,FALSE,,,activities/13353472644.gpx,,,2221,2193,6434.200195,5.579999924,2.933971643,13.90382385,13.90382385,6.400000095,53.70000076,11.09243679,-0.725808978,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,6377.899902,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.896983385,0,,,,5998,,,,,2.908299208,,,media/7F39792C-26ED-4F7A-8B11-77B0FE146F8E.jpg
13388748661,"Jan 18, 2025, 3:10:28 PM",Afternoon Run,Run,,1595,5,,,FALSE,,,activities/13388748661.gpx,,,1595,1595,5005.299805,5.239999771,3.138119221,52.42178726,62.64767838,44.29999924,75.59999847,20,-0.195792466,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,5084.600098,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.138119221,480.2999878,,,,4450,,,,,3.187836885,,,
13659209713,"Feb 18, 2025, 11:32:56 AM",Lunch Run,Run,,1387,4.01,,,FALSE,,,activities/13659209713.gpx,,,1387,1387,4009.899902,4.46999979,2.891059875,54.69063187,54.69063187,47.5,77.09999847,25,0.221950665,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4141.799805,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.891059875,640.7999878,,,,3878,,,,,2.986157179,,,
13676524078,"Feb 20, 2025, 9:18:38 AM",Morning Run,Run,,1706,5,,,FALSE,,,activities/13676524078.gpx,,,1706,1696,5003.5,5.480000019,2.950176954,13.94882774,13.94882774,6.400000095,54.20000076,8.928571701,-0.911362052,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4947.100098,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.932883978,0,,,,4748,,,,,2.916922092,,,
13713749530,"Feb 24, 2025, 1:32:51 PM",Afternoon Run,Run,mud n puddles !,1810,5.53,,,FALSE,,,activities/13713749530.gpx,,,1810,1787,5535.200195,4.659999847,3.097481728,50.56529999,60.14377213,53.29999924,79.19999695,14.47368431,-0.186081797,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,5620.899902,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.058121443,1963.400024,,,,5056,,,,,3.145439386,,,media/18306C2D-091D-4A9A-B6BD-93B2F704891C.jpg
13787778111,"Mar 4, 2025, 3:19:23 PM",Afternoon Run,Run,[strava://athletes/95422638/12]Issy Pourrat,4087,10.16,,,FALSE,,,activities/13787778111.gpx,,,4087,4057,10164.5,4.820000172,2.505422831,25.41212463,70.92474365,3.400000095,53.90000153,9.205020905,-0.449604005,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,10126.2002,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.487031937,526,,,,11530,,,,,2.49598217,,,media/ED9B3377-9710-4579-84AA-A9F33A953AD0.jpg|media/60092660-2404-4313-97A6-615C888E9BEB.jpg
13797572455,"Mar 5, 2025, 4:48:56 PM",Afternoon Run,Run,,659,1.99,,,FALSE,,,activities/13797572455.gpx,,,659,639,1990.900024,4.539999962,3.115649462,6.142996788,6.142996788,6.400000095,12.69999981,7.482993126,0.080365665,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2005.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.021092653,0,,,,1826,,,,,3.138497591,,,
13820635290,"Mar 8, 2025, 9:01:17 AM",first park run !,Run,,1683,5.07,,,FALSE,,,activities/13820635290.gpx,,,1683,1674,5072,4.199999809,3.029868603,4.230592251,4.227083206,2.5,6.800000191,2.608695745,0.001971609,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,5075.899902,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.013666153,2800,,,,4762,,,,,3.032198429,,,
13916422795,"Mar 18, 2025, 1:02:44 PM",Afternoon Run,Run,[strava://athletes/95422638/12]Issy Pourrat,2644,6.88,,,FALSE,,,activities/13916422795.gpx,,,2644,2634,6882.399902,5.590000153,2.612908125,13.7970705,60.40921402,6.400000095,53.70000076,13.49693298,-0.678542376,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,6826.899902,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.603025675,0,,,,7384,,,,,2.591837406,,,media/88CB2848-CAB1-4763-891B-52489D7E3379.jpg
13953862394,"Mar 22, 2025, 11:48:51 AM",Lunch Run,Run,,4199,11.5,,,FALSE,,,activities/13953862394.gpx,,,4199,4196,11502.40039,5.289999962,2.741277456,22.9753685,22.9753685,2.599999905,54.09999847,8.474575996,-0.406871617,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,11457.7998,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.739318848,2651.899902,,,,11132,,,,,2.730648279,,,
13984482156,"Mar 25, 2025, 5:10:45 PM",run clurb,Run,issy liv n holly,1887,5.02,,,FALSE,,,activities/13984482156.gpx,,,1887,1795,5026.5,9,2.800278664,58.41109848,58.41109848,6.5,46.79999924,15.15151501,-0.001989456,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,5152.399902,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.663752079,162.1000061,,,,4944,,,,,2.870417833,,,
