Latitude,Longitude,Elevation,Time
19.578498,-155.966264,6.6,2022-08-28 22:33:28+00:00
19.578495,-155.966274,6.6,2022-08-28 22:33:29+00:00
19.578491,-155.966283,6.6,2022-08-28 22:33:30+00:00
19.578485,-155.966291,6.6,2022-08-28 22:33:31+00:00
19.57848,-155.966298,6.6,2022-08-28 22:33:32+00:00
19.578473,-155.966305,6.6,2022-08-28 22:33:33+00:00
19.578465,-155.966311,6.6,2022-08-28 22:33:34+00:00
19.578454,-155.966313,6.7,2022-08-28 22:33:35+00:00
19.578444,-155.966315,6.7,2022-08-28 22:33:36+00:00
19.578436,-155.966316,6.7,2022-08-28 22:33:37+00:00
19.578414,-155.966314,6.7,2022-08-28 22:33:38+00:00
19.578406,-155.966313,6.7,2022-08-28 22:33:39+00:00
19.578398,-155.966311,6.7,2022-08-28 22:33:40+00:00
19.578381,-155.966314,6.7,2022-08-28 22:33:41+00:00
19.578374,-155.966315,6.7,2022-08-28 22:33:42+00:00
19.578368,-155.966317,6.7,2022-08-28 22:33:43+00:00
19.578361,-155.966319,6.7,2022-08-28 22:33:44+00:00
19.578349,-155.966322,6.7,2022-08-28 22:33:45+00:00
19.578337,-155.966323,6.7,2022-08-28 22:33:46+00:00
19.578328,-155.966322,6.7,2022-08-28 22:33:47+00:00
19.578321,-155.966323,6.7,2022-08-28 22:33:48+00:00
19.578308,-155.966325,6.7,2022-08-28 22:33:49+00:00
19.578299,-155.966329,6.7,2022-08-28 22:33:50+00:00
19.578279,-155.966332,6.7,2022-08-28 22:33:51+00:00
19.57827,-155.966332,6.7,2022-08-28 22:33:52+00:00
19.578261,-155.966333,6.8,2022-08-28 22:33:53+00:00
19.578242,-155.96634,6.8,2022-08-28 22:33:54+00:00
19.578235,-155.966346,6.8,2022-08-28 22:33:55+00:00
19.578227,-155.966352,6.8,2022-08-28 22:33:56+00:00
19.578216,-155.966358,6.8,2022-08-28 22:33:57+00:00
19.578202,-155.966363,6.8,2022-08-28 22:33:58+00:00
19.578196,-155.966361,6.8,2022-08-28 22:33:59+00:00
19.578183,-155.966363,6.8,2022-08-28 22:34:00+00:00
19.578169,-155.966362,6.8,2022-08-28 22:34:01+00:00
19.578157,-155.966359,6.8,2022-08-28 22:34:02+00:00
19.578145,-155.966358,6.8,2022-08-28 22:34:03+00:00
19.578134,-155.966358,6.8,2022-08-28 22:34:04+00:00
19.578123,-155.966357,6.8,2022-08-28 22:34:05+00:00
19.578113,-155.966359,6.8,2022-08-28 22:34:06+00:00
19.578105,-155.96636,6.8,2022-08-28 22:34:07+00:00
19.578096,-155.966357,6.8,2022-08-28 22:34:08+00:00
19.578085,-155.966353,6.8,2022-08-28 22:34:09+00:00
19.578071,-155.96635,6.9,2022-08-28 22:34:10+00:00
19.578052,-155.966352,6.9,2022-08-28 22:34:11+00:00
19.578043,-155.966352,6.9,2022-08-28 22:34:12+00:00
19.578035,-155.966352,6.9,2022-08-28 22:34:13+00:00
19.578024,-155.966351,6.9,2022-08-28 22:34:14+00:00
19.578012,-155.96635,6.9,2022-08-28 22:34:15+00:00
19.578001,-155.96635,6.9,2022-08-28 22:34:16+00:00
19.577992,-155.96635,6.9,2022-08-28 22:34:17+00:00
19.577984,-155.96635,6.9,2022-08-28 22:34:18+00:00
19.577973,-155.966351,6.9,2022-08-28 22:34:19+00:00
19.577959,-155.966349,6.9,2022-08-28 22:34:20+00:00
19.577941,-155.966349,6.9,2022-08-28 22:34:21+00:00
19.577933,-155.96635,6.9,2022-08-28 22:34:22+00:00
19.577921,-155.966351,6.9,2022-08-28 22:34:23+00:00
19.577907,-155.966351,7.0,2022-08-28 22:34:24+00:00
19.577901,-155.966351,7.0,2022-08-28 22:34:25+00:00
19.577888,-155.966349,7.0,2022-08-28 22:34:26+00:00
19.577878,-155.96635,7.0,2022-08-28 22:34:27+00:00
19.577864,-155.966348,7.0,2022-08-28 22:34:28+00:00
19.57785,-155.966347,7.0,2022-08-28 22:34:29+00:00
19.57783,-155.966346,7.0,2022-08-28 22:34:30+00:00
19.577821,-155.966346,7.0,2022-08-28 22:34:31+00:00
19.577812,-155.966346,7.0,2022-08-28 22:34:32+00:00
19.577798,-155.966346,7.1,2022-08-28 22:34:33+00:00
19.577786,-155.966347,7.1,2022-08-28 22:34:34+00:00
19.577777,-155.966345,7.1,2022-08-28 22:34:35+00:00
19.577769,-155.966346,7.1,2022-08-28 22:34:36+00:00
19.577755,-155.966345,7.1,2022-08-28 22:34:37+00:00
19.577744,-155.966344,7.1,2022-08-28 22:34:38+00:00
19.577723,-155.966342,7.1,2022-08-28 22:34:39+00:00
19.577715,-155.966342,7.1,2022-08-28 22:34:40+00:00
19.577706,-155.966342,7.2,2022-08-28 22:34:41+00:00
19.577686,-155.96634,7.2,2022-08-28 22:34:42+00:00
19.577678,-155.966339,7.2,2022-08-28 22:34:43+00:00
19.577669,-155.966339,7.2,2022-08-28 22:34:44+00:00
19.577652,-155.966338,7.2,2022-08-28 22:34:45+00:00
19.577641,-155.96634,7.2,2022-08-28 22:34:46+00:00
19.577619,-155.96634,7.2,2022-08-28 22:34:47+00:00
19.57761,-155.966339,7.3,2022-08-28 22:34:48+00:00
19.577601,-155.966338,7.3,2022-08-28 22:34:49+00:00
19.577583,-155.966341,7.3,2022-08-28 22:34:50+00:00
19.577572,-155.966341,7.3,2022-08-28 22:34:51+00:00
19.577562,-155.96634,7.3,2022-08-28 22:34:52+00:00
19.577549,-155.96634,7.3,2022-08-28 22:34:53+00:00
19.577537,-155.966338,7.3,2022-08-28 22:34:54+00:00
19.577528,-155.966338,7.3,2022-08-28 22:34:55+00:00
19.577514,-155.966337,7.3,2022-08-28 22:34:56+00:00
19.577504,-155.966337,7.3,2022-08-28 22:34:57+00:00
19.577492,-155.966337,7.3,2022-08-28 22:34:58+00:00
19.577472,-155.96634,7.3,2022-08-28 22:34:59+00:00
19.577464,-155.96634,7.4,2022-08-28 22:35:00+00:00
19.577455,-155.966341,7.4,2022-08-28 22:35:01+00:00
19.577437,-155.966341,7.4,2022-08-28 22:35:02+00:00
19.577428,-155.96634,7.4,2022-08-28 22:35:03+00:00
19.577418,-155.966339,7.4,2022-08-28 22:35:04+00:00
19.577406,-155.966338,7.4,2022-08-28 22:35:05+00:00
19.577391,-155.966337,7.4,2022-08-28 22:35:06+00:00
19.57737,-155.966335,7.4,2022-08-28 22:35:07+00:00
19.577362,-155.966334,7.4,2022-08-28 22:35:08+00:00
19.577353,-155.966333,7.4,2022-08-28 22:35:09+00:00
19.577332,-155.966333,7.4,2022-08-28 22:35:10+00:00
19.577323,-155.966333,7.5,2022-08-28 22:35:11+00:00
19.577314,-155.966333,7.5,2022-08-28 22:35:12+00:00
19.577291,-155.966334,7.5,2022-08-28 22:35:13+00:00
19.577283,-155.966334,7.5,2022-08-28 22:35:14+00:00
19.577274,-155.966333,7.5,2022-08-28 22:35:15+00:00
19.577262,-155.966333,7.6,2022-08-28 22:35:16+00:00
19.577247,-155.966332,7.6,2022-08-28 22:35:17+00:00
