Latitude,Longitude,Elevation,Time
50.579988,-3.465121,3.9,2024-09-09 12:54:30+00:00
50.579988,-3.465121,3.9,2024-09-09 12:54:31+00:00
50.579983,-3.465118,3.9,2024-09-09 12:54:32+00:00
50.579976,-3.465116,3.9,2024-09-09 12:54:33+00:00
50.579972,-3.465118,3.9,2024-09-09 12:54:34+00:00
50.57997,-3.465123,3.9,2024-09-09 12:54:35+00:00
50.579968,-3.465124,3.9,2024-09-09 12:54:36+00:00
50.579963,-3.465121,3.9,2024-09-09 12:54:37+00:00
50.579933,-3.465153,4.0,2024-09-09 12:54:38+00:00
50.579932,-3.465157,4.0,2024-09-09 12:54:39+00:00
50.579928,-3.465159,4.0,2024-09-09 12:54:40+00:00
50.579927,-3.465207,4.0,2024-09-09 12:54:54+00:00
50.579945,-3.465217,4.0,2024-09-09 12:54:55+00:00
50.579976,-3.465251,4.1,2024-09-09 12:54:56+00:00
50.579994,-3.465262,4.1,2024-09-09 12:54:57+00:00
50.580004,-3.465293,4.1,2024-09-09 12:54:58+00:00
50.580015,-3.465312,4.1,2024-09-09 12:54:59+00:00
50.580025,-3.465331,4.2,2024-09-09 12:55:00+00:00
50.580035,-3.46532,4.2,2024-09-09 12:55:01+00:00
50.580047,-3.465319,4.2,2024-09-09 12:55:02+00:00
50.580051,-3.465329,4.2,2024-09-09 12:55:03+00:00
50.580051,-3.465337,4.2,2024-09-09 12:55:04+00:00
50.58006,-3.46534,4.2,2024-09-09 12:55:05+00:00
50.580057,-3.465345,4.2,2024-09-09 12:55:06+00:00
50.580059,-3.465348,4.2,2024-09-09 12:55:07+00:00
50.580059,-3.465354,4.2,2024-09-09 12:55:08+00:00
50.58006,-3.465345,4.2,2024-09-09 12:55:09+00:00
50.580062,-3.46534,4.3,2024-09-09 12:55:10+00:00
50.580061,-3.465356,4.3,2024-09-09 12:55:11+00:00
50.580059,-3.465362,4.3,2024-09-09 12:55:12+00:00
50.580055,-3.465388,4.4,2024-09-09 12:55:13+00:00
50.580032,-3.465404,4.5,2024-09-09 12:55:14+00:00
50.580019,-3.465409,4.5,2024-09-09 12:55:15+00:00
50.579997,-3.465437,4.5,2024-09-09 12:55:16+00:00
50.579985,-3.465459,4.6,2024-09-09 12:55:17+00:00
50.579955,-3.465483,4.6,2024-09-09 12:55:18+00:00
50.579936,-3.465501,4.7,2024-09-09 12:55:19+00:00
50.579918,-3.465563,4.8,2024-09-09 12:55:20+00:00
50.579902,-3.465601,4.8,2024-09-09 12:55:21+00:00
50.579888,-3.465664,5.0,2024-09-09 12:55:22+00:00
50.579881,-3.465729,5.1,2024-09-09 12:55:23+00:00
50.579883,-3.465788,5.2,2024-09-09 12:55:24+00:00
50.579897,-3.465842,5.4,2024-09-09 12:55:25+00:00
50.579938,-3.465887,5.6,2024-09-09 12:55:26+00:00
50.579975,-3.465932,5.4,2024-09-09 12:55:27+00:00
50.580006,-3.466008,5.3,2024-09-09 12:55:28+00:00
50.580027,-3.46607,5.2,2024-09-09 12:55:29+00:00
50.580059,-3.466127,5.1,2024-09-09 12:55:30+00:00
50.580076,-3.466164,5.1,2024-09-09 12:55:31+00:00
50.580096,-3.466229,5.1,2024-09-09 12:55:32+00:00
50.580128,-3.466263,5.1,2024-09-09 12:55:33+00:00
50.580156,-3.466309,5.1,2024-09-09 12:55:34+00:00
50.580182,-3.466346,5.2,2024-09-09 12:55:35+00:00
50.580214,-3.466351,5.2,2024-09-09 12:55:36+00:00
50.580256,-3.466358,5.2,2024-09-09 12:55:37+00:00
50.580282,-3.46639,5.2,2024-09-09 12:55:38+00:00
50.580286,-3.466418,5.2,2024-09-09 12:55:39+00:00
50.580294,-3.466492,5.2,2024-09-09 12:55:40+00:00
50.5803,-3.466562,5.2,2024-09-09 12:55:41+00:00
50.580314,-3.466604,5.2,2024-09-09 12:55:42+00:00
50.580312,-3.466619,5.2,2024-09-09 12:55:43+00:00
50.580335,-3.466672,5.3,2024-09-09 12:55:44+00:00
50.580337,-3.46674,5.3,2024-09-09 12:55:45+00:00
50.580351,-3.4668,5.3,2024-09-09 12:55:46+00:00
50.580361,-3.466864,5.4,2024-09-09 12:55:47+00:00
50.580388,-3.466922,5.4,2024-09-09 12:55:48+00:00
50.580393,-3.466977,5.5,2024-09-09 12:55:49+00:00
50.580407,-3.467043,5.6,2024-09-09 12:55:50+00:00
50.58041,-3.467108,5.6,2024-09-09 12:55:51+00:00
50.580411,-3.46719,5.8,2024-09-09 12:55:52+00:00
50.580412,-3.467268,5.9,2024-09-09 12:55:53+00:00
50.580414,-3.467345,6.0,2024-09-09 12:55:54+00:00
50.580423,-3.467415,6.1,2024-09-09 12:55:55+00:00
50.580418,-3.467479,6.1,2024-09-09 12:55:56+00:00
50.58043,-3.467552,6.2,2024-09-09 12:55:57+00:00
50.580417,-3.46761,6.3,2024-09-09 12:55:58+00:00
50.580424,-3.467658,6.3,2024-09-09 12:55:59+00:00
50.58043,-3.467707,6.4,2024-09-09 12:56:00+00:00
50.580432,-3.467713,6.4,2024-09-09 12:56:01+00:00
50.580432,-3.467751,6.4,2024-09-09 12:56:02+00:00
50.580417,-3.467799,6.5,2024-09-09 12:56:03+00:00
50.580413,-3.467863,6.6,2024-09-09 12:56:04+00:00
50.580417,-3.467924,6.6,2024-09-09 12:56:05+00:00
50.580418,-3.468003,6.7,2024-09-09 12:56:06+00:00
50.580411,-3.46809,6.8,2024-09-09 12:56:07+00:00
50.580413,-3.468171,6.8,2024-09-09 12:56:08+00:00
50.580415,-3.468245,6.9,2024-09-09 12:56:09+00:00
50.580413,-3.46833,6.9,2024-09-09 12:56:10+00:00
50.580407,-3.468408,7.0,2024-09-09 12:56:11+00:00
50.580396,-3.468487,7.0,2024-09-09 12:56:12+00:00
50.580393,-3.468567,7.1,2024-09-09 12:56:13+00:00
50.58039,-3.468649,7.1,2024-09-09 12:56:14+00:00
50.580398,-3.468714,7.1,2024-09-09 12:56:15+00:00
50.580403,-3.468784,7.2,2024-09-09 12:56:16+00:00
50.580405,-3.468847,7.2,2024-09-09 12:56:17+00:00
50.580414,-3.468924,7.3,2024-09-09 12:56:18+00:00
50.580397,-3.468985,7.3,2024-09-09 12:56:19+00:00
50.580396,-3.469051,7.4,2024-09-09 12:56:20+00:00
50.580396,-3.469109,7.4,2024-09-09 12:56:21+00:00
50.580397,-3.469177,7.4,2024-09-09 12:56:22+00:00
50.580398,-3.469234,7.5,2024-09-09 12:56:23+00:00
50.580394,-3.469308,7.5,2024-09-09 12:56:24+00:00
50.5804,-3.469386,7.6,2024-09-09 12:56:25+00:00
50.580405,-3.469451,7.6,2024-09-09 12:56:26+00:00
50.580404,-3.469519,7.7,2024-09-09 12:56:27+00:00
50.580406,-3.469578,7.7,2024-09-09 12:56:28+00:00
50.580401,-3.469642,7.8,2024-09-09 12:56:29+00:00
50.580384,-3.46972,7.8,2024-09-09 12:56:30+00:00
50.580373,-3.469794,7.9,2024-09-09 12:56:31+00:00
50.580369,-3.469866,8.0,2024-09-09 12:56:32+00:00
50.580377,-3.469931,8.0,2024-09-09 12:56:33+00:00
50.580375,-3.469998,8.1,2024-09-09 12:56:34+00:00
50.580375,-3.47006,8.2,2024-09-09 12:56:35+00:00
50.580373,-3.470118,8.2,2024-09-09 12:56:36+00:00
50.580374,-3.470188,8.3,2024-09-09 12:56:37+00:00
50.580379,-3.470251,8.3,2024-09-09 12:56:38+00:00
50.58037,-3.470323,8.4,2024-09-09 12:56:39+00:00
50.580373,-3.470382,8.4,2024-09-09 12:56:40+00:00
50.580379,-3.470439,8.5,2024-09-09 12:56:41+00:00
50.580383,-3.470505,8.6,2024-09-09 12:56:42+00:00
50.580384,-3.470559,8.6,2024-09-09 12:56:43+00:00
50.580383,-3.470622,8.7,2024-09-09 12:56:44+00:00
50.580383,-3.470679,8.8,2024-09-09 12:56:45+00:00
50.58038,-3.470737,8.9,2024-09-09 12:56:46+00:00
50.580376,-3.470798,9.0,2024-09-09 12:56:47+00:00
50.580376,-3.470851,9.0,2024-09-09 12:56:48+00:00
50.580378,-3.470924,9.2,2024-09-09 12:56:49+00:00
50.580389,-3.47099,9.3,2024-09-09 12:56:50+00:00
50.580393,-3.471042,9.4,2024-09-09 12:56:51+00:00
50.580391,-3.471087,9.4,2024-09-09 12:56:52+00:00
50.580395,-3.471136,9.5,2024-09-09 12:56:53+00:00
50.580398,-3.471192,9.6,2024-09-09 12:56:54+00:00
50.580404,-3.471238,9.7,2024-09-09 12:56:55+00:00
50.580393,-3.471304,9.8,2024-09-09 12:56:56+00:00
50.580394,-3.471357,9.9,2024-09-09 12:56:57+00:00
50.580398,-3.471407,10.0,2024-09-09 12:56:58+00:00
50.580398,-3.471471,10.2,2024-09-09 12:56:59+00:00
50.580398,-3.471493,10.2,2024-09-09 12:57:00+00:00
50.580398,-3.471537,10.3,2024-09-09 12:57:01+00:00
50.580403,-3.471584,10.4,2024-09-09 12:57:02+00:00
50.580405,-3.471598,10.5,2024-09-09 12:57:03+00:00
50.580433,-3.471607,10.5,2024-09-09 12:57:04+00:00
50.580443,-3.471618,10.5,2024-09-09 12:57:05+00:00
50.580468,-3.471657,10.5,2024-09-09 12:57:06+00:00
50.5805,-3.471684,10.5,2024-09-09 12:57:07+00:00
50.58053,-3.471709,10.6,2024-09-09 12:57:08+00:00
50.580568,-3.471699,10.6,2024-09-09 12:57:09+00:00
50.580612,-3.471701,10.6,2024-09-09 12:57:10+00:00
50.580641,-3.471704,10.6,2024-09-09 12:57:11+00:00
50.580678,-3.471703,10.6,2024-09-09 12:57:12+00:00
50.580718,-3.47173,10.6,2024-09-09 12:57:13+00:00
50.580757,-3.471761,10.6,2024-09-09 12:57:14+00:00
50.580796,-3.471784,10.6,2024-09-09 12:57:15+00:00
50.580828,-3.47179,10.6,2024-09-09 12:57:16+00:00
50.580872,-3.471814,10.6,2024-09-09 12:57:17+00:00
50.580915,-3.471807,10.7,2024-09-09 12:57:18+00:00
50.580938,-3.471832,10.7,2024-09-09 12:57:19+00:00
50.580969,-3.47185,10.8,2024-09-09 12:57:20+00:00
50.581008,-3.471863,10.8,2024-09-09 12:57:21+00:00
50.581038,-3.47187,10.9,2024-09-09 12:57:22+00:00
50.581053,-3.47183,10.9,2024-09-09 12:57:23+00:00
50.581058,-3.471807,11.0,2024-09-09 12:57:24+00:00
50.581062,-3.471729,11.0,2024-09-09 12:57:25+00:00
50.581091,-3.471637,11.2,2024-09-09 12:57:26+00:00
50.581117,-3.47158,11.3,2024-09-09 12:57:27+00:00
50.58114,-3.471521,11.4,2024-09-09 12:57:28+00:00
50.581144,-3.471472,11.5,2024-09-09 12:57:29+00:00
50.581153,-3.471424,11.6,2024-09-09 12:57:30+00:00
50.581168,-3.471381,11.7,2024-09-09 12:57:31+00:00
50.581171,-3.471316,11.8,2024-09-09 12:57:32+00:00
50.58117,-3.471292,11.8,2024-09-09 12:57:33+00:00
50.581184,-3.471255,12.2,2024-09-09 12:57:34+00:00
50.581197,-3.471246,12.3,2024-09-09 12:57:35+00:00
50.58123,-3.471265,12.6,2024-09-09 12:57:36+00:00
50.581254,-3.471274,12.8,2024-09-09 12:57:37+00:00
50.581288,-3.471268,13.1,2024-09-09 12:57:38+00:00
50.581333,-3.47128,13.4,2024-09-09 12:57:39+00:00
50.581354,-3.471286,13.6,2024-09-09 12:57:40+00:00
50.58138,-3.47131,13.8,2024-09-09 12:57:41+00:00
50.581412,-3.471323,14.1,2024-09-09 12:57:42+00:00
50.58144,-3.471361,14.4,2024-09-09 12:57:43+00:00
50.581451,-3.471377,14.5,2024-09-09 12:57:44+00:00
50.581473,-3.471415,14.8,2024-09-09 12:57:45+00:00
50.581503,-3.471454,15.1,2024-09-09 12:57:46+00:00
50.581513,-3.471471,15.2,2024-09-09 12:57:47+00:00
50.581547,-3.471493,15.4,2024-09-09 12:57:48+00:00
50.581562,-3.471497,15.5,2024-09-09 12:57:49+00:00
50.581591,-3.471529,15.8,2024-09-09 12:57:50+00:00
50.581627,-3.471538,16.0,2024-09-09 12:57:51+00:00
50.581653,-3.471558,16.2,2024-09-09 12:57:52+00:00
50.581684,-3.471598,16.4,2024-09-09 12:57:53+00:00
50.581697,-3.471608,16.5,2024-09-09 12:57:54+00:00
50.581724,-3.471629,16.7,2024-09-09 12:57:55+00:00
50.58175,-3.471659,16.8,2024-09-09 12:57:56+00:00
50.581782,-3.471688,17.0,2024-09-09 12:57:57+00:00
